wine_id,region_id,price,score
107492,408,24,87
45545,51,60,87
48394,47,16,87
48399,47,21,87
9223,381,17,86
16107,381,15,86
16173,381,20,86
26894,381,19,86
45985,51,23,86
107111,51,18,86
110273,381,13,86
63201,408,26,86
99673,381,13,86
100344,214,17,86
75774,51,48,86
85401,51,40,86
87053,214,12,86
89351,47,12,86
108712,108,14,88
110246,214,19,88
6530,51,26,88
7650,284,50,88
9705,284,49,88
12742,284,50,88
20649,51,13,88
42171,214,16,88
2664,214,40,87
4052,214,20,87
7353,284,90,87
7996,383,25,87
12347,357,26,87
14637,51,14,87
17141,192,10,87
17235,284,75,87
79576,284,80,93
81621,108,55,93
86037,51,24,93
93445,51,52,93
96063,51,115,93
96189,51,60,93
107296,51,40,93
1195,51,55,93
6042,108,28,93
7258,51,60,93
